Class,Order,Family,Genus,Species,Common.Name,X.M.F.Both.,Length..cm.,Height,Diet,Feeding.Guild,Habitat,Water.Column,reference
Actinopterygii,Eupercaria,Labridae,Coris,dorsomacula,Pale-barred coris,F,10.7,2.22,Unknown,Invertivore,"Sand, rubble bottoms",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=6657&what=species&TotRec=10
Actinopterygii,Eupercaria,Labridae,Coris,batuensis,Batu coris,Both,10.2,2.52,"Crabs, gastropods",Invertivore,"Lagoons, seaward reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=6&ID=25688&what=species&TotRec=11
Actinopterygii,Eupercaria,Labridae,Coris,pictoides,Blackstripe coris,M,7.8,1.7,Unknown,Invertivore,Coral reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=5107&what=species&TotRec=3
Actinopterygii,Eupercaria,Labridae,Coris,centralis,Central Pacific coris,M,10.9,2.3,Unknown,Invertivore,Outer reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=55260&what=species&TotRec=4
Actinopterygii,Eupercaria,Labridae,Coris,centralis,Central Pacific coris,F,NA,NA,Unknown,Invertivore,Outer reefs,Benthic,
Actinopterygii,Eupercaria,Labridae,Coris,aurilineata,Goldlined coris,M,NA,NA,Unknown,Invertivore,"Rubble, sand bottoms with algae",Benthic,
Actinopterygii,Eupercaria,Labridae,Coris,aurilineata,Goldlined coris,F,NA,NA,Unknown,Invertivore,"Rubble, sand bottoms with algae",Benthic,
Actinopterygii,Eupercaria,Labridae,Coris,caudimacula,Spottail coris,Both,13.2,2.99,"Amphipods, tanaids, pelecypods, brachyuran crabs, gastropods, polychaetes",Invertivore,"Coastal, lagoon, outer reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=8026&what=species&TotRec=9
Actinopterygii,Eupercaria,Labridae,Coris,africana,African coris,Both,33.5,9.08,"Crustaceans, mollusks, sea urchins",Invertivore,"Reef flats, lagoons, seaward reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=52844&what=species&TotRec=6
Actinopterygii,Eupercaria,Labridae,Coris,frerei,Queen coris,M,42.3,13.16,"Crustaceans, mollusks, sea urchins",Invertivore,Outer reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=6&ID=7736&what=species&TotRec=14
Actinopterygii,Eupercaria,Labridae,Coris,frerei,Queen coris,F,35,10.36,"Crustaceans, mollusks, sea urchins",Invertivore,Outer reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=7736&what=species&TotRec=14
