individual,time,behaviour
20241213_barracuda_2_138,72589.18333333333,Bite
20241213_barracuda_2_138,72906.16666666666,Bite
20241213_barracuda_2_139,101367.93333333333,Predator avoidance
20241213_barracuda_3_140,169469.30000000002,Vigilance
20241213_barracuda_3_141,176843.33333333334,Predator avoidance
20241213_barracuda_3_141,181931.75000000003,Vigilance
20241213_barracuda_3_142,212362.15000000002,Feeding
20241213_barracuda_3_142,214731.18333333335,Bite
20241213_barracuda_3_142,218418.2,Bite
20241213_barracuda_3_142,216933.38333333336,Vigilance
20241213_grouper_0_143,272739.13333333336,Moving
20241213_grouper_3_144,139038.90000000002,Vigilance
20241213_grouper_3_144,182532.35,Feeding
20241213_grouper_3_144,184200.68333333332,Bite
20241213_grouper_3_144,185168.31666666668,Bite
20241213_grouper_3_144,186069.21666666667,Bite
